food_name,calories_per_100g_kcal,fat_per_100g_g,cholesterol_per_100g_mg,protein_per_100g_g,carbohydrate_per_100g_g,fiber_per_100g_g,sugar_per_100g_g,sodium_per_100g_mg,kalium_per_100g_mg,detail_url,instance_weight_g
Nasi Kuning,95.0,0.17,0.0,1.89,20.86,0.4,0.39,550.0,44.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-kuning?portionid=53194&portionamount=100,000",0
Ayam Rica-Rica,202.0,11.41,63.0,20.49,3.71,0.5,0.34,238.0,265.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-rica-rica?portionid=31269545&portionamount=100,000",0
Ayam Betutu,212.0,17.4,36.0,11.3,3.16,0.8,0.14,251.0,172.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-betutu?portionid=60226198&portionamount=100,000",0
Ayam Taliwang,260.0,19.71,54.0,17.77,2.63,0.3,1.92,423.0,215.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-taliwang?portionid=57081611&portionamount=100,000",0
Ayam Geprek,263.0,17.99,139.0,17.61,7.6,0.8,0.78,460.0,216.0,"https://www.fatsecret.co.id/kalori-gizi/umum/ayam-geprek?portionid=27502196&portionamount=100,000",0
Bebek Goreng,286.0,24.1,56.0,13.05,3.66,0.6,1.14,61.0,197.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bebek-goreng?portionid=44273479&portionamount=100,000",0
Bebek Bakar,314.0,25.9,82.0,18.75,0.0,0.0,0.0,193.0,201.0,"https://www.fatsecret.co.id/kalori-gizi/umum/bebek-bakar?portionid=64089798&portionamount=100,000",0
Ikan Mas Goreng,117.0,4.39,58.0,18.16,0.17,0.0,0.01,88.0,327.0,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-mas-goreng,0
Ikan Patin Bakar,144.0,6.61,64.0,17.78,2.22,0.0,2.01,372.0,412.0,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-patin-bakar,0
Ikan Tuna Panggang,153.0,3.96,53.0,27.3,0.41,0.0,0.09,366.0,524.0,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-tuna-panggang,0
Ikan Tongkol,110.0,0.92,42.0,23.87,0.0,0.0,0.0,106.0,396.0,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-tongkol,0
Bandeng Presto,171.0,8.22,40.0,16.87,6.77,0.8,0.25,270.0,359.0,https://www.fatsecret.co.id/kalori-gizi/umum/bandeng-presto,0
Nila,128.0,2.65,57.0,26.15,0.0,0.0,0.0,56.0,380.0,https://www.fatsecret.co.id/kalori-gizi/umum/nila-(ikan)-(dimasak-panas-kering),0
Ikan Salmon Panggang,171.0,7.56,62.0,23.97,0.49,0.0,0.11,467.0,395.0,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-salmon-panggang,0
Tahu Kukus,78.0,4.34,0.0,7.97,1.93,0.1,0.96,63.0,149.0,https://www.fatsecret.co.id/kalori-gizi/umum/tahu-kukus,0
Tahu Bulat,173.0,12.99,214.0,11.81,3.39,1.0,0.48,281.0,176.0,"https://www.fatsecret.co.id/kalori-gizi/umum/tahu-bulat?portionid=47372277&portionamount=100,000",0
Tahu Isi,112.0,5.53,46.0,8.54,7.21,1.0,1.4,270.0,180.0,"https://www.fatsecret.co.id/kalori-gizi/umum/tahu-isi?portionid=8730785&portionamount=100,000",0
Tempe Mendoan,200.0,12.78,0.0,11.18,12.69,0.3,0.15,233.0,265.0,https://www.fatsecret.co.id/kalori-gizi/umum/tempe-mendoan,0
Tempe Goreng Tepung,241.0,14.09,0.0,12.77,18.61,0.5,0.18,254.0,296.0,"https://www.fatsecret.co.id/kalori-gizi/umum/tempe-goreng-tepung?portionid=34467093&portionamount=100,000",0
Nasi Pecel,230.0,9.33,0.0,6.58,31.74,2.0,9.56,8.0,202.0,https://www.fatsecret.co.id/kalori-gizi/umum/nasi-pecel,0
Nasi Bakar,281.0,13.25,36.0,14.49,25.39,0.8,0.36,169.0,209.0,"https://www.fatsecret.co.id/kalori-gizi/umum/nasi-bakar?portionid=27618185&portionamount=100,000",0
Cumi Asin,173.0,8.19,136.0,20.92,2.52,0.0,0.0,233.0,378.0,https://www.fatsecret.co.id/kalori-gizi/umum/cumi-asin,0
Tahu Sumedang,118.0,8.06,0.0,7.06,4.34,0.4,0.91,196.0,153.0,"https://www.fatsecret.co.id/kalori-gizi/umum/tahu-sumedang?portionid=53067594&portionamount=100,000",0
Sambal Goreng Kentang,102.0,3.02,101.0,8.72,10.15,1.1,1.25,114.0,341.0,https://www.fatsecret.co.id/kalori-gizi/umum/sambal-goreng-kentang,0
Telur Dadar,153.0,12.02,356.0,10.62,0.69,0.0,0.65,161.0,114.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur-dadar?portionid=56530&portionamount=100,000",0
Dendeng Sapi,410.0,25.6,48.0,33.2,11.0,1.8,9.0,2213.0,597.0,"https://www.fatsecret.co.id/kalori-gizi/umum/dendeng-sapi?portionid=62020&portionamount=100,000",0
Usus Ayam,94.0,2.06,240.0,17.66,0.0,0.0,0.0,69.0,237.0,https://www.fatsecret.co.id/kalori-gizi/umum/usus-ayam,0
Sate Usus,141.0,7.28,171.0,16.81,1.13,0.1,0.0,505.0,157.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sate-usus?portionid=52640833&portionamount=100,000",0
Sayur Lodeh,68.0,3.95,3.0,2.78,6.14,1.1,1.76,204.0,174.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sayur-lodeh?portionid=8088286&portionamount=100,000",0
Sayur Bening Bayam,36.0,0.37,0.0,1.79,7.64,1.4,2.82,162.0,291.0,https://www.fatsecret.co.id/kalori-gizi/umum/sayur-bening-bayam,0
Jamur Tiram,35.0,0.44,0.0,3.34,6.43,2.4,1.11,18.0,420.0,https://www.fatsecret.co.id/kalori-gizi/umum/jamur-tiram,0
Terong Balado,97.0,7.99,0.0,1.16,7.09,3.4,3.17,262.0,240.0,https://www.fatsecret.co.id/kalori-gizi/umum/terong-balado,0
Tumis Pare,46.0,2.45,0.0,1.25,5.74,2.5,0.74,125.0,277.0,https://www.fatsecret.co.id/kalori-gizi/umum/tumis-pare,0
Labu Siam,17.0,0.13,0.0,0.82,3.9,1.7,1.85,2.0,125.0,https://www.fatsecret.co.id/kalori-gizi/umum/labu-siam,0
Teri Kacang Balado,260.0,11.08,20.0,10.77,32.08,2.9,18.27,406.0,340.0,https://www.fatsecret.co.id/kalori-gizi/umum/teri-kacang-balado,0
Omelet Mie,138.0,2.03,78.0,4.48,24.43,0.5,1.99,208.0,98.0,https://www.fatsecret.co.id/kalori-gizi/umum/omelet-mie,0
Dadar Gulung,231.0,11.31,74.0,4.7,28.59,1.9,5.8,67.0,160.0,"https://www.fatsecret.co.id/kalori-gizi/umum/dadar-gulung?portionid=13982102&portionamount=100,000",0
Telur Orak-Arik,166.0,12.21,352.0,11.09,2.2,0.0,1.73,280.0,138.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur-orak-arik-(utuh-dimasak)?portionid=56532&portionamount=100,000",0
